word,pinyin,definition
经久不息,jing1 jiu3 bu4 xi1,"prolonged (applause, cheering etc)"
错过,cuo4 guo4,"to miss (train, opportunity etc)"
认错,ren4 cuo4,to admit an error/to acknowledge one's mistake
不错,bu4 cuo4,correct/right/not bad/pretty good
过错,guo4 cuo4,mistake/fault/responsibility (for a fault)
错位,cuo4 wei4,to be wrongly positioned; to be dislocated; to be misplaced/(medicine) to be in malposition/(fig.) erroneous; eccentric
没错,mei2 cuo4,that's right/sure!/rest assured!/that's good/can't go wrong
错别字,cuo4 bie2 zi4,incorrectly written or mispronounced characters
错觉,cuo4 jue2,misconception/illusion/misperception
承认,cheng2 ren4,"to admit/to concede/to recognize/recognition (diplomatic, artistic etc)/to acknowledge"
承包,cheng2 bao1,to contract/to undertake (a job)
承受,cheng2 shou4,to bear/to support/to inherit
传承,chuan2 cheng2,to pass on (to future generations)/passed on (from former times)/a continued tradition/an inheritance
承办,cheng2 ban4,to undertake/to accept a contract
复印,fu4 yin4,to photocopy/to duplicate a document
印章,yin4 zhang1,seal/signet/chop/stamp/CL:方[fang1]
打印,da3 yin4,to affix a seal/to stamp/to print out (with a printer)
印证,yin4 zheng4,to confirm; to corroborate; to verify/proof; evidence
打印机,da3 yin4 ji1,printer
印象,yin4 xiang4,impression (sth that stays in one's mind)/a memory
晚会,wan3 hui4,evening party/CL:個|个[ge4]
晚期,wan3 qi1,later period/end stage/terminal
晚点,wan3 dian3,(of trains etc) late/delayed/behind schedule/light dinner
早晚,zao3 wan3,morning and evening/(dialect) some time in the future; some day
晚安,wan3 an1,Good night!/Good evening!
一天到晚,yi1 tian1 dao4 wan3,all day long; the whole day
晚上,wan3 shang5,evening/night/CL:個|个[ge4]/in the evening
晚间,wan3 jian1,evening/night
晚年,wan3 nian2,one's later years
晚报,wan3 bao4,evening newspaper/(in a newspaper's name) Evening News
当晚,dang1 wan3,on that evening
从早到晚,cong2 zao3 dao4 wan3,from morning till night/from dawn to dusk/all day long
试用,shi4 yong4,to try sth out/to be on probation
试图,shi4 tu2,to attempt/to try
调试,tiao2 shi4,to debug/to adjust components during testing/debugging
考试,kao3 shi4,to take an exam/exam/CL:次[ci4]
试题,shi4 ti2,exam question/test topic
试行,shi4 xing2,to try out/to test
试验,shi4 yan4,"experiment/test/CL:次[ci4],個|个[ge4]/to experiment/experimental"
试用期,shi4 yong4 qi1,trial period/probationary period
比试,bi3 shi4,to have a competition/to measure with one's hand or arm/to make a gesture of measuring
口试,kou3 shi4,oral examination/oral test
面试,mian4 shi4,to be interviewed (as a candidate)/interview
试点,shi4 dian3,test point/to carry out trial/pilot scheme
股市,gu3 shi4,stock market
股东,gu3 dong1,shareholder/stockholder
股民,gu3 min2,stock investor/share trader
拿到,na2 dao4,to get/to obtain
拿出,na2 chu1,to take out/to put out/to provide/to put forward (a proposal)/to come up with (evidence)
拿走,na2 zou3,to take away
拿手,na2 shou3,expert in/good at
电脑,dian4 nao3,computer/CL:臺|台[tai2]
头脑,tou2 nao3,brains/mind/skull/(fig.) gist (of a matter)/leader/boss
脑海,nao3 hai3,the mind/the brain
脑子,nao3 zi5,brains/mind/CL:個|个[ge4]
大脑,da4 nao3,brain/cerebrum
首脑,shou3 nao3,head (of state)/summit (meeting)/leader
预言,yu4 yan2,to predict/prophecy
预算,yu4 suan4,budget
预料,yu4 liao4,to forecast/to anticipate/expectation
预告,yu4 gao4,to forecast/to predict/advance notice
预见,yu4 jian4,to foresee/to predict/to forecast/to envision/foresight/intuition/vision
预约,yu4 yue1,booking/reservation/to book/to make an appointment
预计,yu4 ji4,to forecast/to predict/to estimate
预备,yu4 bei4,to prepare/to make ready/preparation/preparatory
预报,yu4 bao4,forecast
预感,yu4 gan3,to have a premonition/premonition
预防,yu4 fang2,to prevent/to take precautions against/to protect/to guard against/precautionary/prophylactic
预定,yu4 ding4,to schedule in advance
干预,gan1 yu4,to meddle/to intervene/intervention
预先,yu4 xian1,beforehand/in advance
预示,yu4 shi4,to indicate/to foretell/to forebode/to betoken
预期,yu4 qi1,to expect/to anticipate
谁知道,shei2 zhi1 dao4,God knows.../Who would have imagined...?
受益,shou4 yi4,to benefit from/profit
精益求精,jing1 yi4 qiu2 jing1,to perfect sth that is already outstanding (idiom); constantly improving
日益,ri4 yi4,day by day/more and more/increasingly/more and more with each passing day
得益于,de2 yi4 yu2,to benefit from/thanks to
效益,xiao4 yi4,benefit/effectiveness/efficiency
公益,gong1 yi4,public good; public welfare; public interest
收益,shou1 yi4,earnings/profit
利益,li4 yi4,benefit/(in sb's) interest/CL:個|个[ge4]
权益,quan2 yi4,rights/interests/rights and benefits
益处,yi4 chu5,benefit
有益,you3 yi4,useful/beneficial/profitable
太阳,tai4 yang5,sun/CL:個|个[ge4]/abbr. for 太陽穴|太阳穴[tai4 yang2 xue2]
阳台,yang2 tai2,variant of 陽臺|阳台[yang2 tai2]
太阳能,tai4 yang2 neng2,solar energy
阳光,yang2 guang1,sunshine/(of personality) upbeat; energetic/transparent (open to public scrutiny)
阳性,yang2 xing4,positive/masculine
若干,ruo4 gan1,a certain number or amount/how many?/how much?
哪里,na3 li3,where?/somewhere/anywhere/wherever/nowhere (negative answer to question)/humble expression denying compliment/also written 哪裡|哪里
哪怕,na3 pa4,even/even if/even though/no matter how
哪知道,na3 zhi1 dao4,who would have thought that ...?
哪些,na3 xie1,which ones?/who?/what?
哪儿,na3 r5,where?/wherever/anywhere
微不足道,wei1 bu4 zu2 dao4,negligible; insignificant
微观,wei1 guan1,micro-/subatomic
微信,Wei1 xin4,Weixin or WeChat (mobile text and voice messaging service developed by Tencent 騰訊|腾讯[Teng2 xun4])
微型,wei1 xing2,miniature/micro-/tiny
无微不至,wu2 wei1 bu4 zhi4,in every possible way (idiom); meticulous
细微,xi4 wei1,tiny/minute/fine/subtle/sensitive (instruments)
微笑,wei1 xiao4,"smile/CL:個|个[ge4],絲|丝[si1]/to smile"
轻微,qing1 wei1,slight/light/trivial/to a small extent
继而,ji4 er2,then/afterwards
继父,ji4 fu4,stepfather
继承,ji4 cheng2,to inherit/to succeed to (the throne etc)/to carry on (a tradition etc)
继母,ji4 mu3,stepmother
继续,ji4 xu4,to continue/to proceed with/to go on with
相继,xiang1 ji4,in succession/following closely
运送,yun4 song4,to transport/to carry
发送,fa1 song4,to transmit/to dispatch/to issue (an official document or credential)
送别,song4 bie2,to farewell
送行,song4 xing2,to see someone off/to throw someone a send-off party
送给,song4 gei3,to send/to give as a present
接送,jie1 song4,to pick up and drop off; to ferry back and forth
着急,zhao2 ji2,to worry; to feel anxious/to feel a sense of urgency; to be in a hurry/Taiwan pr. [zhao1 ji2]
紧急,jin3 ji2,urgent/emergency
急性,ji2 xing4,acute
应急,ying4 ji2,to respond to an emergency/to meet a contingency/(attributive) emergency
急需,ji2 xu1,to urgently need/urgent need
急于,ji2 yu2,eager to/in a hurry to
当务之急,dang1 wu4 zhi1 ji2,top priority job/matter of vital importance
流血,liu2 xue4,to bleed/to shed blood
出血,chu1 xue4,to bleed; bleeding/(fig.) to spend money in large amounts
血管,xue4 guan3,vein/artery/CL:根[gen1]
心血,xin1 xue4,heart's blood/expenditure (for some project)/meticulous care
止血,zhi3 xue4,to staunch (bleeding)/hemostatic (drug)
受惊,shou4 jing1,startled
吃惊,chi1 jing1,to be startled/to be shocked/to be amazed
惊人,jing1 ren2,astonishing
大吃一惊,da4 chi1 yi1 jing1,to have a surprise (idiom); shocked or startled/gobsmacked
惊奇,jing1 qi2,to be amazed/to be surprised/to wonder
惊天动地,jing1 tian1 dong4 di4,world-shaking (idiom)
伤感,shang1 gan3,sad/emotional/sentimental/pathos
伤口,shang1 kou3,wound/cut
伤心,shang1 xin1,to grieve/to be broken-hearted/to feel deeply hurt
伤势,shang1 shi4,condition of an injury
伤害,shang1 hai4,to injure/to harm
受伤,shou4 shang1,to sustain injuries/wounded (in an accident etc)/harmed
重伤,zhong4 shang1,seriously hurt/serious injury
伤员,shang1 yuan2,wounded person
创伤,chuang1 shang1,wound/injury/trauma
元素,yuan2 su4,element (key component of sth)/(chemistry) element/(math.) element (member of a set)
因素,yin1 su4,element/factor/CL:個|个[ge4]
维生素,wei2 sheng1 su4,vitamin
素质,su4 zhi4,inner quality/basic essence
要素,yao4 su4,essential factor/key constituent
素不相识,su4 bu4 xiang1 shi2,to be total strangers (idiom)
药物,yao4 wu4,medicaments/pharmaceuticals/medication/medicine/drug
药方,yao4 fang1,prescription
药片,yao4 pian4,a (medicine) pill or tablet/CL:片[pian4]
火药,huo3 yao4,gunpowder
中药,zhong1 yao4,"traditional Chinese medicine/CL:服[fu4],種|种[zhong3]"
药品,yao4 pin3,medicaments/medicine/drug
医药,yi1 yao4,medical care and medicines/medicine (drug)/medical/pharmaceutical
药水,Yao4 shui3,"Yaksu in North Korea, near the border with Liaoning and Jiling province"
适当,shi4 dang4,suitable; appropriate
不适,bu4 shi4,unwell/indisposed/out of sorts
合适,he2 shi4,suitable/fitting/appropriate
适用,shi4 yong4,to be applicable
适量,shi4 liang4,appropriate amount
适时,shi4 shi2,timely/apt to the occasion/in due course
适合,shi4 he2,to fit; to suit
适度,shi4 du4,moderately/appropriate
适应,shi4 ying4,to adapt/to fit/to suit
波动,bo1 dong4,to undulate/to fluctuate/wave motion/rise and fall
风波,feng1 bo1,disturbance/crisis/disputes/restlessness/CL:場|场[chang2]
波及,bo1 ji2,to spread to/to involve/to affect
夜市,ye4 shi4,night market
黑夜,hei1 ye4,night
夜间,ye4 jian1,nighttime/evening or night (e.g. classes)
夜里,ye4 li5,during the night/at night/nighttime
深夜,shen1 ye4,very late at night
夜校,ye4 xiao4,evening school/night school
夜总会,ye4 zong3 hui4,nightclub/nightspot
开夜车,kai1 ye4 che1,to burn the midnight oil/to work late into the night
日夜,ri4 ye4,day and night/around the clock
半夜,ban4 ye4,midnight/in the middle of the night
夜以继日,ye4 yi3 ji4 ri4,night and day (idiom); continuous strenuous effort
夜晚,ye4 wan3,night/CL:個|个[ge4]
连夜,lian2 ye4,that very night/through the night/for several nights in a row
节省,jie2 sheng3,saving/to save/to use sparingly/to cut down on
反省,fan3 xing3,to reflect upon oneself/to examine one's conscience/to question oneself/to search one's soul
省事,sheng3 shi4,to simplify matters/to save trouble
省钱,sheng3 qian2,to save money
最初,zui4 chu1,first/primary/initial/original/at first/initially/originally
月初,yue4 chu1,start of month/early in the month
初期,chu1 qi1,initial stage/beginning period
初步,chu1 bu4,initial/preliminary/tentative
初次,chu1 ci4,"for the first time/first (meeting, attempt etc)"
初中,chu1 zhong1,junior high school (abbr. for 初級中學|初级中学[chu1 ji2 zhong1 xue2])
起初,qi3 chu1,originally/at first/at the outset
初等,chu1 deng3,elementary (i.e. easy)
初级,chu1 ji2,junior/primary
年初,nian2 chu1,beginning of the year
当初,dang1 chu1,at that time/originally
喜事,xi3 shi4,happy occasion/wedding
喜爱,xi3 ai4,to like/to love/to be fond of/favorite
惊喜,jing1 xi3,nice surprise/to be pleasantly surprised
喜出望外,xi3 chu1 wang4 wai4,to be pleased beyond one's expectations (idiom)/overjoyed at the turn of events
喜好,xi3 hao4,to like/fond of/to prefer/to love/one's tastes/preference
自卫,zi4 wei4,to defend oneself/self-defense
卫生间,wei4 sheng1 jian1,bathroom/toilet/WC/CL:間|间[jian1]
卫生,wei4 sheng1,health/hygiene/sanitation
防卫,fang2 wei4,to defend/defensive/defense
保卫,bao3 wei4,to defend/to safeguard
卫星,wei4 xing1,satellite/moon/CL:顆|颗[ke1]
卫视,wei4 shi4,satellite TV (abbr. for 衛星電視|卫星电视[wei4 xing1 dian4 shi4])
起源,qi3 yuan2,origin/to originate/to come from
源源不断,yuan2 yuan2 bu4 duan4,a steady flow (idiom); an unending stream
源头,yuan2 tou2,source/fountainhead
资源,Zi1 yuan2,"Ziyuan county in Guilin 桂林[Gui4 lin2], Guangxi"
来源于,lai2 yuan2 yu2,to originate in
来源,lai2 yuan2,source (of information etc)/origin
源于,yuan2 yu2,has its origins in
根源,gen1 yuan2,origin/root (cause)
能源,neng2 yuan2,energy/power source/CL:個|个[ge4]
水源,shui3 yuan2,water source/water supply/headwaters of a river
电源,dian4 yuan2,electric power source
发源地,fa1 yuan2 di4,place of origin/birthplace/source
食用,shi2 yong4,to eat; to consume/edible
食品,shi2 pin3,foodstuff; food; provisions/CL:種|种[zhong3]
素食,su4 shi2,vegetarian food/to eat a vegetarian diet
主食,zhu3 shi2,staple food
食物,shi2 wu4,food/CL:種|种[zhong3]
美食,mei3 shi2,culinary delicacy/fine food/gourmet food
保险,bao3 xian3,insurance/to insure/safe/secure/be sure/be bound to/CL:份[fen4]
惊险,jing1 xian3,perilous; touch-and-go; nerve-racking; suspenseful
风险,feng1 xian3,risk; hazard
看待,kan4 dai4,to look upon; to regard
等待,deng3 dai4,to wait; to wait for
待会儿,dai1 hui4 r5,in a moment/later/also pr. [dai1 hui3 r5] or [dai1 hui5 r5]
接待,jie1 dai4,to receive (a visitor)/to admit (allow sb to enter)
有待,you3 dai4,not yet (done)/pending
期待,qi1 dai4,to look forward to/to await/expectation
对待,dui4 dai4,to treat/treatment
讲述,jiang3 shu4,to talk about/to narrate/to give an account
上述,shang4 shu4,aforementioned/above-mentioned
表述,biao3 shu4,to formulate/enunciation/to explain sth precisely
论述,lun4 shu4,treatise/discourse/exposition
陈述,chen2 shu4,an assertion/to declare/to state
陆军,lu4 jun1,army/ground forces
陆续,lu4 xu4,in turn/successively/one after the other/bit by bit
大陆,Da4 lu4,mainland China (reference to the PRC)
陆地,lu4 di4,dry land (as opposed to the sea)
复习,fu4 xi2,to review/revision/CL:次[ci4]
学习,xue2 xi2,to learn/to study
实习,shi2 xi2,to practice/field work/to intern/internship
预习,yu4 xi2,to prepare a lesson
难以置信,nan2 yi3 zhi4 xin4,hard to believe/incredible
位置,wei4 zhi5,position/place/seat/CL:個|个[ge4]
布置,bu4 zhi4,to put in order/to arrange/to decorate/to fix up/to deploy
装置,zhuang1 zhi4,to install/installation/equipment/system/unit/device
设置,she4 zhi4,to set up; to install
放置,fang4 zhi4,to put
处置,chu3 zhi4,to handle/to take care of/to punish
安置,an1 zhi4,to find a place for/to help settle down/to arrange for/to get into bed/placement
居然,ju1 ran2,unexpectedly/to one's surprise/go so far as to
居民,ju1 min2,resident; inhabitant
定居,ding4 ju1,"to settle (in some city, country etc)/to take up residence"
居住,ju1 zhu4,to reside/to dwell/to live in a place/resident in
功劳,gong1 lao2,contribution/meritorious service/credit
劳动力,lao2 dong4 li4,labor force/manpower
劳动,lao2 dong4,work/toil/physical labor/CL:次[ci4]
多劳多得,duo1 lao2 duo1 de2,work more and get more
劳务,lao2 wu4,"service (work done for money)/services (as in ""goods and services"")"
发财,fa1 cai2,to get rich
财物,cai2 wu4,property/belongings
理财,li3 cai2,to manage wealth; to manage finances; money management
财务,cai2 wu4,financial affairs
钱财,qian2 cai2,wealth/money
财经,cai2 jing1,finance and economics
财政,cai2 zheng4,finances (public)/financial
财产,cai2 chan3,property/assets/estate/CL:筆|笔[bi3]
财力,cai2 li4,financial resources/financial ability
环节,huan2 jie2,"(zoology) segment (of the body of a worm, centipede etc)/(fig.) a part of an integrated whole: aspect (of a project), element (of a policy), sector (of the economy), stage (of a process) etc"
环球,huan2 qiu2,around the world/worldwide
光环,guang1 huan2,halo/ring of light
环境,huan2 jing4,environment/circumstances/surroundings/CL:個|个[ge4]/ambient
环保,huan2 bao3,environmental protection/environmentally friendly/abbr. for 環境保護|环境保护[huan2 jing4 bao3 hu4]
排列,pai2 lie4,to arrange in order/(math.) permutation
排队,pai2 dui4,to line up
排球,pai2 qiu2,volleyball/CL:個|个[ge4]
排放,pai2 fang4,"to arrange in order/to emit; to discharge (exhaust gas, waste water etc)/(of animals) to ovulate; to discharge semen"
排名,pai2 ming2,"to rank (1st, 2nd etc)/ranking"
排除,pai2 chu2,to eliminate/to remove/to exclude/to rule out
安排,an1 pai2,to arrange/to plan/to set up/arrangements/plans
福利,fu2 li4,material benefit/benefit in kind/(social) welfare
造福,zao4 fu2,to benefit (e.g. the people)
福气,fu2 qi5,good fortune/a blessing
交纳,jiao1 na4,to pay (taxes or dues)
纳入,na4 ru4,to bring into/to channel into/to integrate into/to incorporate
接纳,jie1 na4,to admit (to membership)
采纳,cai3 na4,to accept/to adopt
容纳,rong2 na4,to hold/to contain/to accommodate/to tolerate (different opinions)
欢快,huan1 kuai4,cheerful and lighthearted/lively
喜欢,xi3 huan5,to like; to be fond of
欢声笑语,huan1 sheng1 xiao4 yu3,cheers and laughter
联欢,lian2 huan1,to have a get-together/celebration/party
欢乐,huan1 le4,gaiety/gladness/glee/merriment/pleasure/happy/joyous/gay
雷同,lei2 tong2,mirroring others/identical
打雷,da3 lei2,to rumble with thunder/clap of thunder
警察,jing3 cha2,police; police officer/CL:個|个[ge4]
警告,jing3 gao4,to warn/to admonish
警官,jing3 guan1,constable; police officer
警车,jing3 che1,police car
交警,jiao1 jing3,traffic police/abbr. for 交通警察
报警,bao4 jing3,to sound an alarm/to report sth to the police
民警,min2 jing3,civil police/PRC police/abbr. for 人民警察
获取,huo4 qu3,to gain; to get; to acquire
收获,shou1 huo4,variant of 收穫|收获[shou1 huo4]
获得,huo4 de2,to obtain; to receive; to get
模特儿,mo2 te4 r5,(fashion) model (loanword)
一模一样,yi1 mu2 yi1 yang4,exactly the same (idiom)/carbon copy/also pr. [yi1 mo2 yi1 yang4]
规模,gui1 mo2,scale/scope/extent/CL:個|个[ge4]
模型,mo2 xing2,model/mold/matrix/pattern
模式,mo2 shi4,mode/method/pattern
大模大样,da4 mu2 da4 yang4,boldly; ostentatiously/poised; self-assured/Taiwan pr. [da4 mo2 da4 yang4]
模样,mu2 yang4,look/style/appearance/approximation/about/CL:個|个[ge4]/also pr. [mo2 yang4]
大规模,da4 gui1 mo2,large scale/extensive/wide scale/broad scale
充当,chong1 dang1,to serve as/to act as/to play the role of
充电器,chong1 dian4 qi4,battery charger
充电,chong1 dian4,to recharge (a battery)/(fig.) to recharge one's batteries (through leisure)/to update one's skills and knowledge
充足,chong1 zu2,adequate/sufficient/abundant
充分,chong1 fen4,ample/sufficient/adequate/full/fully/to the full
充实,chong1 shi2,rich/full/substantial/to enrich/to augment/to substantiate (an argument)
充满,chong1 man3,full of/brimming with/very full/permeated
自负,zi4 fu4,conceited/to take responsibility
负面,fu4 mian4,negative/the negative side
负有,fu4 you3,to be responsible for
负责,fu4 ze2,to be in charge of/to take responsibility for/to be to blame/conscientious
负责人,fu4 ze2 ren2,person in charge
风云,feng1 yun2,weather/unstable situation
多云,duo1 yun2,cloudy (meteorology)
停留,ting2 liu2,to stay somewhere temporarily/to stop over
不停,bu4 ting2,incessant
停车场,ting2 che1 chang3,parking lot/car park
停车位,ting2 che1 wei4,parking space/parking spot
停止,ting2 zhi3,to stop; to halt; to cease
停业,ting2 ye4,to cease trading (temporarily or permanently)/to close down
停放,ting2 fang4,to park (a car etc)/to moor (a boat etc)/to leave sth (in a place)
停下,ting2 xia4,to stop
停车,ting2 che1,to pull up (stop one's vehicle)/to park/(of a machine) to stop working/to stall
停电,ting2 dian4,to have a power failure/power cut
木头,mu4 tou5,"slow-witted/blockhead/log (of wood, timber etc)/CL:塊|块[kuai4],根[gen1]"
游人,you2 ren2,a tourist
下游,xia4 you2,lower reaches (of a river)/lower level/lower echelon/downstream
上游,shang4 you2,upper reaches (of a river)/upper level/upper echelon/upstream
游行,you2 xing2,to march; to parade; to demonstrate/procession; march; demonstration/to travel around; to roam
出游,chu1 you2,to go on a tour/to have an outing
游船,you2 chuan2,pleasure boat/cruise ship
导游,dao3 you2,tour guide/guidebook/to conduct a tour
游客,you2 ke4,traveler/tourist/(online gaming) guest player
水龙头,shui3 long2 tou2,faucet/tap
尼龙,ni2 long2,nylon (loanword)
树木,shu4 mu4,tree
树林,Shu4 lin2,"Shulin city in New Taipei City 新北市[Xin1 bei3 shi4], Taiwan"
建树,jian4 shu4,to make a contribution/to establish/to found/contribution
树立,shu4 li4,to set up/to establish
果树,guo3 shu4,fruit tree/CL:棵[ke1]
疑点,yi2 dian3,a doubtful point
无疑,wu2 yi2,undoubtedly; without doubt; for sure
疑问,yi2 wen4,question/interrogation/doubt
质疑,zhi4 yi2,to call into question/to question (truth or validity)
可疑,ke3 yi2,suspicious/dubious
半信半疑,ban4 xin4 ban4 yi2,half doubting/dubious/skeptical
底层,di3 ceng2,ground or first floor/bottom (of a pile)/lowest rung (of society)
高层,gao1 ceng2,high level/high class
层面,ceng2 mian4,"aspect/facet/level (political, psychological, spiritual etc)/(geology) bedding plane"
层次,ceng2 ci4,layer/level/gradation/arrangement of ideas/(a person's) standing
基层,ji1 ceng2,basic level/grassroots unit/basement layer
冷笑,leng3 xiao4,"to sneer/to laugh grimly/grin of dissatisfaction (bitterness, helplessness, indignation etc)/bitter, grim, sarcastic or angry smile"
冷落,leng3 luo4,desolate/unfrequented/to treat sb coldly/to snub/to cold shoulder
冷水,leng3 shui3,cold water/unboiled water/fig. not yet ready (of plans)
冷战,Leng3 zhan4,(US-Soviet) Cold War
冷气,leng3 qi4,air conditioning (Tw)
冷门,leng3 men2,"a neglected branch (of arts, science, sports etc)/fig. a complete unknown who wins a competition"
冲击,chong1 ji1,variant of 衝擊|冲击[chong1 ji1]
冲突,chong1 tu1,conflict/to conflict/clash of opposing forces/collision (of interests)/contention
冲动,chong1 dong4,to have an urge/to be impetuous/impulse/urge
注射,zhu4 she4,injection/to inject
发射,fa1 she4,to shoot (a projectile)/to fire (a rocket)/to launch/to emit (a particle)/to discharge/emanation/emission
射击,she4 ji1,to shoot/to fire (a gun)
投射,tou2 she4,to throw (a projectile)/to cast (light)
领略,ling3 lu:e4,to have a taste of/to realize/to appreciate
略微,lu:e4 wei1,a little bit/slightly
战略,zhan4 lu:e4,strategy
省略,sheng3 lu:e4,to leave out/an omission
示范,shi4 fan4,to demonstrate/to show how to do sth/demonstration/a model example
模范,mo2 fan4,model/fine example
范围,fan4 wei2,range/scope/limit/extent/CL:個|个[ge4]
防范,fang2 fan4,to be on guard/wariness/to guard against/preventive
风范,feng1 fan4,air/manner/model/paragon/demeanor
师范,shi1 fan4,"teacher-training/pedagogical/normal (school, e.g. Beijing Normal University)"
规范,gui1 fan4,norm/standard/specification/regulation/rule/within the rules/to fix rules/to regulate/to specify
究竟,jiu1 jing4,to go to the bottom of a matter/after all/when all is said and done/(in an interrogative sentence) finally/outcome/result
竟然,jing4 ran2,unexpectedly/to one's surprise/in spite of everything/in that crazy way/actually/to go as far as to
一句话,yi1 ju4 hua4,in a word/in short
句子,ju4 zi5,sentence/CL:個|个[ge4]
手术室,shou3 shu4 shi4,operating room
教室,jiao4 shi4,classroom/CL:間|间[jian1]
办公室,ban4 gong1 shi4,office/business premises/bureau/CL:間|间[jian1]
实验室,shi2 yan4 shi4,laboratory/CL:間|间[jian1]
地下室,di4 xia4 shi4,basement/cellar
日新月异,ri4 xin1 yue4 yi4,"daily renewal, monthly change (idiom)/every day sees new developments/rapid progress"
异口同声,yi4 kou3 tong2 sheng1,"different mouths, same voice/to speak in unison (idiom)"
因人而异,yin1 ren2 er2 yi4,varying from person to person (idiom); different for each individual
异议,yi4 yi4,objection/dissent
大同小异,da4 tong2 xiao3 yi4,virtually the same/differing only on small points
异性,yi4 xing4,the opposite sex/of the opposite sex/heterosexual/different in nature
变异,bian4 yi4,variation
异想天开,yi4 xiang3 tian1 kai1,to imagine the wildest thing/to indulge in fantasy
异常,yi4 chang2,unusual; abnormal/extremely; exceptionally
感激,gan3 ji1,to be grateful/to appreciate/thankful
激活,ji1 huo2,to activate
激情,ji1 qing2,passion/fervor/enthusiasm/strong emotion
激化,ji1 hua4,to intensify
激素,ji1 su4,hormone
激动,ji1 dong4,to move emotionally/to stir up (emotions)/to excite
激起,ji1 qi3,to arouse/to evoke/to cause/to stir up
激光,ji1 guang1,laser
激发,ji1 fa1,to arouse/to stimulate/(physics) to excite
老汉,lao3 han4,old man/I (an old man referring to himself)
汉字,han4 zi4,Chinese character/CL:個|个[ge4]/Japanese: kanji/Korean: hanja/Vietnamese: hán tự
汉语,Han4 yu3,Chinese language/CL:門|门[men2]
农村,nong2 cun1,rural area/village/CL:個|个[ge4]
哈哈,ha1 ha1,(onom.) laughing out loud
对策,dui4 ce4,countermeasure for dealing with a situation
政策,zheng4 ce4,policy/CL:個|个[ge4]
决策,jue2 ce4,strategic decision/decision-making/policy decision/to determine policy
策略,ce4 lu:e4,strategy; tactics/crafty; adroit
计策,ji4 ce4,stratagem
策划,ce4 hua4,to plot/to scheme/to bring about/to engineer/planning/producer/planner
出演,chu1 yan3,to appear (in a show etc)/an appearance (on stage etc)
主演,zhu3 yan3,to act the leading role (in a movie or a play)/to star/lead actor
表演,biao3 yan3,play/show/performance/exhibition/to perform/to act/to demonstrate/CL:場|场[chang3]
演示,yan3 shi4,to demonstrate/to show/presentation/demonstration
演员,yan3 yuan2,"actor or actress/performer/CL:個|个[ge4],位[wei4],名[ming2]"
演说,yan3 shuo1,speech/to deliver a speech
演技,yan3 ji4,acting/performing skills
演出,yan3 chu1,"to act (in a play)/to perform/to put on (a performance)/performance/concert/show/CL:場|场[chang3],次[ci4]"
导演,dao3 yan3,to direct/director (film etc)
演讲,yan3 jiang3,lecture/to make a speech
演变,yan3 bian4,to develop/to evolve/development/evolution
上演,shang4 yan3,to screen (a movie)/to stage (a play)/a screening/a staging
演习,yan3 xi2,maneuver/exercise/practice/to maneuver
简体字,jian3 ti3 zi4,"simplified Chinese character, as opposed to traditional Chinese character 繁體字|繁体字[fan2 ti3 zi4]"
简要,jian3 yao4,concise/brief
简称,jian3 cheng1,to be abbreviated to/abbreviation; short form
简直,jian3 zhi2,simply; really
简化,jian3 hua4,to simplify
简历,jian3 li4,curriculum vitae (CV)/résumé/biographical notes
简易,jian3 yi4,simple and easy/simplistic/simplicity
精简,jing1 jian3,to simplify/to reduce
简单,jian3 dan1,simple/not complicated
一卡通,Yi1 ka3 tong1,"the name of various contactless smartcards, notably Yikatong (mainly for public transport in Beijing) and iPASS (mainly for public transport in Taiwan)"
卡通,ka3 tong1,cartoon (loanword)
卡片,ka3 pian4,card
信用卡,xin4 yong4 ka3,credit card
卡子,qia3 zi5,clip/hair fastener/checkpoint
卡车,ka3 che1,truck/CL:輛|辆[liang4]
得罪,de2 zui4,to commit an offense/to violate the law/excuse me! (formal)/see also 得罪[de2 zui5]
判处,pan4 chu3,to sentence/to condemn
批判,pi1 pan4,to criticize/critique/CL:個|个[ge4]
谈判,tan2 pan4,to negotiate/negotiation/talks/conference/CL:個|个[ge4]
判断,pan4 duan4,to judge/to determine/judgment
判定,pan4 ding4,to judge/to decide/judgment/determination
判决,pan4 jue2,judgment (by a court of law)/to pass judgment on/to sentence
担保,dan1 bao3,to guarantee/to vouch for
担负,dan1 fu4,to shoulder/to bear/to undertake
担任,dan1 ren4,to hold a governmental office or post/to assume office of/to take charge of/to serve as
承担,cheng2 dan1,to undertake/to assume (responsibility etc)
分担,fen1 dan1,"to share (a burden, a cost, a responsibility)"
负担,fu4 dan1,"to bear (an expense, a responsibility etc)/burden"
担子,dan4 zi5,carrying pole and the loads on it/burden/task/responsibility/CL:副[fu4]
担当,dan1 dang1,to take upon oneself/to assume
担心,dan1 xin1,anxious/worried/uneasy/to worry/to be anxious
平静,ping2 jing4,tranquil/undisturbed/serene
冷静,leng3 jing4,calm; cool-headed; dispassionate/(of a place) deserted; quiet
静止,jing4 zhi3,still/immobile/static/stationary
清静,qing1 jing4,quiet/peaceful and quiet
动静,dong4 jing4,(detectable) movement/(sign of) activity/movement and stillness
安静,an1 jing4,quiet/peaceful/calm
退学,tui4 xue2,to quit school
退却,tui4 que4,to retreat/to shrink back
